column name,column type,column values
a260_a280_ratio,number,Not specified
aa_change,string,Not specified
adapter_content,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
adapter_name,string,Not specified
adapter_sequence,string,Not specified
additional_pathology_findings,Not specified,"Bone marrow discordant histology, Hyperkeratosis, Inflammation, Keratinizing dysplasia; mild, Leiomyoma, Other Complex Extravascular Matrix Patterns, PD-L1 CPS (223C LDT) - 20%, Platinum-resistant, Sialadenitis, Tumor has rough spikey edges"
adrenal_hormone,Not specified,"No, Not Reported, Yes"
adverse_event,Not specified,"Blood and Lymphatic System Disorders - Other, Delayed Puberty, Dyspepsia, Encephalitis Infection, Gait Disturbance, Hepatitis Viral, Hyperkalemia, Intraoperative Breast Injury, Mania, Superficial Thrombophlebitis"
adverse_event_grade,Not specified,"Grade 1, Grade 2, Grade 3, Grade 4, Grade 5"
age_at_diagnosis,number,Not specified
age_at_index,Not specified,Not specified
age_at_last_exposure,integer,Not specified
age_at_onset,integer,Not specified
age_is_obfuscated,boolean,Not specified
aggregated_somatic_mutations,Not specified,Not specified
aids_risk_factors,Not specified,"Candidiasis, Cryptococcosis, Cryptosporidiosis, Chronic Intestinal, Encephalopathy, Herpes Simplex Virus, Mycobacterium avium Complex, Mycobacterium tuberculosis, Pneumocystis Pneumonia, Pneumonia, NOS, Progressive Multifocal Leukoencephalopathy"
ajcc_clinical_m,Not specified,"M0, M1, M1a, M1b, M1c, MX, Not Allowed To Collect, Not Reported, Unknown, cM0 (i+)"
ajcc_clinical_n,Not specified,"N0 (i+), N0 (i-), N0 (mol-), N1bI, N1bIII, N1bIV, N2b, N2c, Not Allowed To Collect, Unknown"
ajcc_clinical_stage,Not specified,"Stage 0, Stage IA2, Stage IA3, Stage IB Cervix, Stage IIB, Stage IIC1, Stage III, Stage IIIC1, Stage IS, Stage X"
ajcc_clinical_t,Not specified,"Not Reported, T1a, T1b, T2b, T2c, T2d, T3b, T4, T4b, T4d"
ajcc_pathologic_m,Not specified,"M0, M1a, M1b, M1c, M1d, M2, MX, Not Reported, Unknown, cM0 (i+)"
ajcc_pathologic_n,Not specified,"N1bIV, N2b, N2c, N3, N3c, N4, NX, Not Allowed To Collect, Not Reported, Unknown"
ajcc_pathologic_stage,Not specified,"Stage 0a, Stage 0is, Stage IA, Stage IB2, Stage II, Stage IIA2, Stage IIB, Stage IIIA, Stage IIIB, Stage IVA"
ajcc_pathologic_t,Not specified,"Not Allowed To Collect, T0, T1a1, T2a1, T2a2, T4, Ta, Tis (DCIS), Tis (Paget's), Unknown"
ajcc_staging_system_edition,Not specified,"1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, Not Reported, Unknown"
alcohol_days_per_week,number,Not specified
alcohol_drinks_per_day,number,Not specified
alcohol_frequency,Not specified,"Daily Drinker, Weekly Drinker"
alcohol_history,Not specified,"No, Not Reported, Unknown, Yes, no, yes"
